Species	Entrez.ID	Gene	Description	Evidence..PMID.	Tier	References	Function..PMID.
17	Homo sapiens	2175	FANCA	Fanconi anemia group A protein	immunofluorescence with S9.6 (26593718), DRIP-qPCR (26584049), RNaseH sensitivity (26584049)	1	26584049, 26593718	coordinating replication and transcription and preventing R-loop formation (26593718, 26584049)
18	Homo sapiens	2177	FANCD2	Fanconi anemia group D2 protein	immunofluorescence with S9.6 (30431240, 26593718, 26584049, 30650351), RNaseH sensitivity (26593718, 26584049, 27768874, 30650351), DRIP-qPCR (26584049, 27768874), PLA with anti-FANCD2 and S9.6 antibodies (29394375), EMSA (29394375, 30650351)	1	26584049, 26593718, 27768874, 29394375, 30431240, 30650351	coordinating replication and transcription (26593718, 26584049, 27768874), interacting with HNRNPU and DDX47 to resolve R-loops (30431240), binding R-loop via the displaced ssDNA strand and ssRNA tail (29394375, 30650351)
19	Homo sapiens	55215	FANCI	Fanconi anemia group I protein	EMSA (29394375, 30650351), immunofluorescence with S9.6 (30650351), RNaseH sensitivity (30650351)	1	29394375, 30650351	coordinating replication and transcription (29394375), binding R-loop via the displaced ssDNA strand and ssRNA tail (29394375, 30650351)
20	Homo sapiens	57697	FANCM	Fanconi anemia group M protein	immunofluorescence with S9.6 (26593718, 31836759), RNaseH sensitivity (31836759, 31138795), in vitro branch migration assays (26593718), in vitro helicase assay (31138795), dot blot with S9.6 (31138795), FISH (31138795)	1	26593718, 31836759, 31138795	coordinating replication and transcription and limiting R-loop level via its translocase activity (26593718), a helicase/translocase to disrupt the TERRA R-loops (31836759), limiting ALT activity by restricting telomeric replication stress induced by deregulated BLM and R-loops (31138795)
21	Homo sapiens	2237	FEN1	Flap endonuclease 1	HTS (30108179), in vitro nuclease and binding assay (23675412, 32763971), RNaseH rescue (25922071)	1	23675412, 25922071, 30108179, 32763971	R-loop binding (23675412), processing RNA:DNA hybrid/flap intermediates (23675412, 25922071), cleavage of trinucleotide repeats engaged in an R-loop (32763971)
22	Homo sapiens	2521	FUS	RNA-binding protein FUS	HTS (29742442), reverse IP (29742442), co-IP (33661429), RNaseH sensitivity (33661429)	1	29742442, 33661429	mediating RNA splicing and preventing R-loop formation (29742442, 33661429)
23	Homo sapiens	3192	HNRNPU	Heterogeneous nuclear ribonucleoprotein U	HTS (29742442, 30108179), mCherry-RNaseH1 mutant (25030905), immunofluorescence with S9.6 (30431240)	1	25030905, 29742442, 30108179, 30431240	RNA processing to prevent R-loops induced by DNA damage and replication stress (25030905, 30431240), interacting with FANCD2 (30431240)
24	Homo sapiens	23517	MTREX	Exosome RNA helicase MTR4	HTS (29742442, 30108179), DRIP-qPCR (28431250), in vitro helicase assay (28431250, 29844170)	1	28431250, 29844170, 29742442, 30108179	RNA helicase to unwind RNA:DNA hybrid (28431250, 29844170)
25	Homo sapiens	4691	NCL	Nucleolin	HTS (29742442, 30108179), in vitro helicase assay (1649452), immunofluorescence with S9.6 (30108179)	1	1649452, 29742442, 30108179	helicase to unwind RNA:DNA hybrid (1649452)
26	Homo sapiens	4841	NONO	Non-POU domain-containing octamer-binding protein	HTS (29742442, 30108179), immunofluorescence with S9.6 (30824709), pull-down assay (30108179), biolayer interferometry (30108179)	1	29742442, 30108179, 30824709	regulating TERRA homeostasis and suppressing TERRA:telomere RNA:DNA-hybrid formation (30824709)
27	Homo sapiens	10622	POLR3G	DNA-directed RNA polymerase III subunit RPC7	EGFP-HB-NLS (33626331), immunofluorescence with S9.6 (25623070)	1	33626331, 25623070	synthesizing the RNA strand in RNA:DNA hybrid at DSBs (33626331), regulating cytosolic RNA:DNA hybrids (25623070)
28	Homo sapiens	10419	PRMT5	Protein arginine N-methyltransferase 5	HTS (30108179), DRIP-seq (32747416), immunofluorescence with S9.6 (31267554), DRIP-qPCR (31267554)	1	30108179, 31267554, 32747416	preventing R-loop formation (32747416), methylating DDX5 to regulate R-loop level (31267554)
29	Homo sapiens	5893	RAD52	DNA repair protein RAD52 homolog	GFP-RNaseH1-HB (30245011), pull-down assay (32503981), EMSA (30297739)	1	30245011, 32503981, 30297739	recruited by RNA:DNA hybrid for DNA repair (30245011, 30297739), higher affinity for DNA:RNA hybrids containing m5C-modified RNA to promote HR (32503981)
30	Homo sapiens	246243	RNASEH1	Ribonuclease H1	in vitro RNaseH assay (2154746, 9799596, 30605451), structure (17964265, 18337749), EMSA (9799596, 18337749), immunofluorescence with anti-RNaseH1 and S9.6 antibodies (28977560), ChIP-qPCR with S9.6 (28977560), HTS (30108179), biolayer interferometry (30108179), DRIP-qPCR (28717002)	1	9799596, 17964265, 18337749, 2154746, 28717002, 28977560, 30108179, 30605451	catalyzing the cleavage of RNA in an RNA:DNA hybrid (2154746, 9799596, 17964265, 18337749, 28977560, 30108179), resolving R-loops and  enabling progression of the DNA replication fork (28717002),  directing origin-specific initiation of DNA replication in human mitochondria (30605451)
31	Homo sapiens	10535	RNASEH2A	Ribonuclease H2 subunit A	HTS (30108179), DRIP-seq (26182405), in vitro RNaseH assay (19015152, 28402412, 30481312, 21177854, 29959219, 31529068), immunofluorescence with S9.6 (29315404)	1	19015152, 21177854, 26182405, 28402412, 29315404, 29959219, 30108179, 30481312, 31529068	catalyzing the cleavage of RNA or single ribonucleotide in an RNA:DNA hybrid (19015152, 21177854, 28402412, 30481312, 26182405, 31529068),  required for efficient LINE-1 retrotransposition (29959219), interplay with MOV10 is crucial for restricting L1 retrotransposition (29315404)
32	Homo sapiens	79621	RNASEH2B	Ribonuclease H2 subunit B	HTS (30108179), DRIP-seq (26182405), in vitro RNaseH assay (19015152, 28402412, 30481312, 21177854, 33707687, 29959219, 31529068), immunofluorescence with S9.6 (33707687)	1	19015152, 21177854, 26182405, 28402412, 29959219, 30108179, 30481312, 33707687, 31529068	catalyzing the cleavage of RNA or single ribonucleotide in an RNA:DNA hybrid (19015152, 21177854, 28402412, 30481312, 26182405, 31529068), limiting the accumulation of endogenous RNA:DNA hybrids that may trigger an interferon-mediated immune response (33707687),  required for efficient LINE-1 retrotransposition (29959219)
33	Homo sapiens	84153	RNASEH2C	Ribonuclease H2 subunit C	HTS (30108179), in vitro RNaseH assay (19015152, 28402412, 29959219, 30481312, 21177854, 31529068), immunofluorescence with S9.6 (30622304)	1	19015152, 21177854, 28402412, 29959219, 30108179, 30481312, 30622304, 31529068	catalyzing the cleavage of RNA or single ribonucleotide in an RNA:DNA hybrid (19015152, 21177854, 28402412, 30481312, 30622304, 31529068), restraining R-loop & DNA damage-induced inflammatory response (30622304),  required for efficient LINE-1 retrotransposition (29959219)
34	Homo sapiens	6045	RNF2	E3 ubiquitin-protein ligase RING2	RNaseH sensitivity (30413623), DRIP-qPCR (32142505), pyCAG_RNaseH1_ D210N ChIP-qPCR (32142505)	1	30413623, 32142505	preventing RNA:DNA hybrids that impair DNA replication (30413623), suppressing R-loop at CFS sites (32142505)
35	Homo sapiens	6117	RPA1	Replication protein A 70 kDa DNA-binding subunit	HTS (30108179), EMSA (28257700), in vitro RNaseH assay (28257700), strand invasion assay (32796030), RNaseH sensitivity (32796030)	1	28257700, 30108179, 32796030	RPA complex binding to the displaced ssDNA (28257700), interacts and stimulates RNaseH1 activity (28257700), binding RNA to promote R-loop formation (32796030)
36	Homo sapiens	6118	RPA2	Replication protein A 32 kDa subunit	HTS (30108179), immunofluorescence with S9.6 (28257700), GFP-RNaseH1-D210N (28257700), EMSA (28257700), in vitro RNaseH assay (28257700), strand invasion assay (32796030), RNaseH sensitivity (32796030)	1	28257700, 30108179, 32796030	RPA complex binding to the displaced ssDNA (28257700), interacts and stimulates RNaseH1 activity (28257700), binding RNA to promote R-loop formation (32796030)
37	Homo sapiens	6119	RPA3	Replication protein A 14 kDa subunit	EMSA (28257700), in vitro RNaseH assay (28257700), strand invasion assay (32796030), RNaseH sensitivity (32796030)	1	28257700, 32796030	RPA complex binding to the displaced ssDNA (28257700), interacts and stimulates RNaseH1 activity (28257700), binding RNA to promote R-loop formation (32796030)
38	Homo sapiens	51750	RTEL1	Regulator of telomere elongation helicase 1	immunofluorescence with S9.6 (32561545, 32398827), RNaseH sensitivity (32561545, 32398827), GFP-RNaseH-HB (32561545), DRIP-qPCR (32561545), dot blot with S9.6 (32561545), pull-down assay (32561545), DRIP-seq (32398827)	1	32561545, 32398827	helicase to prevent R-loop formation (32561545)
39	Homo sapiens	23064	SETX	Probable helicase senataxin	DRIP-qPCR (21700224, 29497062, 29416069), RNaseH sensitivity (21700224, 29395064, 29497062, 33661429), immunofluorescence with S9.6 (29395064), dot blot with S9.6 (29395064), DRIP-seq (32686621, 29416069), co-IP (33661429)	1	21700224, 29395064, 29497062, 32686621, 33661429, 29416069	helicase (21700224, 29395064, 29497062, 32686621, 33661429, 29416069), recruiting XRN2 (21700224), DSB repair (29497062), resolving RNA:DNA hybrids at DSB to prevent translocations (29416069)
40	Homo sapiens	23451	SF3B1	Splicing factor 3B subunit 1	HTS (30108179), immunofluorescence with S9.6 (30054334, 32076118, 33054116), RNaseH sensitivity (28257700, 32076118)	1	30054334, 30108179, 32076118, 28257700, 33054116	inhibition of SF3B1 leads to R-loop accumulation (28257700), SF3B1 mutations underlie MDS and R-loop dysregulation (30054334, 32076118, 33054116)
41	Homo sapiens	23450	SF3B3	Splicing factor 3B subunit 3	HTS (30108179), immunofluorescence with S9.6 (27991914, 30341290)	1	27991914, 30108179, 30341290	safeguarding genome stability and avoiding R-loop formation (27991914, 30341290)
42	Homo sapiens	6421	SFPQ	Splicing factor, proline- and glutamine-rich	HTS (29742442, 30108179), immunofluorescence with S9.6 (30341290, 30824709, 32966782)	1	29742442, 30108179, 30341290, 30824709, 32966782	regulating TERRA homeostasis and suppressing TERRA:telomere RNA:DNA-hybrid formation (30824709), preventing the formation of R-loops (30341290), preventing collision of DNA replication and (R-loops during) transcription (32966782)
43	Homo sapiens	6606	SMN1	Survival motor neuron protein	DRIP-qPCR (26700805), DRIP-seq (28270613), RNaseH sensitivity (30010942), immunofluorescence with S9.6 (30010942)	1	26700805, 28270613, 30010942	transcription termination control via resolving RNA:DNA hybrids (26700805), preventing the formation of R-loops (28270613), low levels of SMN1 cause SETX deficiency and R-loop accumulation (30010942)
44	Homo sapiens	6426	SRSF1	Serine/arginine-rich splicing factor 1	HTS (29742442, 30108179), bisulfite-modification assay (16096057), RNaseH sensitivity (16096057, 31708417), pull-down assay (29742442), dot blot with S9.6 (31708417)	1	16096057, 29742442, 30108179, 31708417	splicing factor, modulating splicing and transcription and preventing R-loop formation (16096057, 31708417)
45	Homo sapiens	6427	SRSF2	Serine/arginine-rich splicing factor 2	HTS (29742442), R-ChIP-qPCR (29395063), R-ChIP (29395063), immunofluorescence with S9.6 (29395063, 33054116), RNaseH sensitivity (29395063)	1	29395063, 29742442	promoting Pol II release and preventing R-loop accumulation (29395063), SF3B1 mutations underlie MDS and R-loop dysregulation (33054116)
46	Homo sapiens	23435	TARDBP	TAR DNA-binding protein 43	HTS (29742442), immunofluorescence with S9.6 (32989039, 33301444), RNaseH sensitivity (32989039, 33301444), DRIP-qPCR (33301444)	1	29742442, 32989039, 33301444	binding to nascent RNA to prevent R-loop formation (32989039), preventing R-loop accumulation (33301444)
47	Homo sapiens	9984	THOC1	THO complex subunit 1	RNaseH sensitivity (22144908, 32669125), GFP-RNaseH1-HB (24896180), immunofluorescence with S9.6 (32493765, 32669125), DRIP-qPCR (24896180, 28076779)	1	22144908, 24896180, 32493765, 32669125, 28076779	connection between transcription/RNA export and R-loop induced genome instability (22144908), interacting with DDX39B helicase (32493765), preventing R-loop accumulation (24896180, 32669125, 28076779)
48	Homo sapiens	7150	TOP1	DNA topoisomerase 1	HTS (29742442, 30108179), GFP-RNaseH1-HB (24896180), immunofluorescence with S9.6 (23999093), DRIVE-qPCR (26784695), DRIP-qPCR (25851487, 28977560, 31533039), dot blot with S9.6 (30060749, 31533039), DRIP-seq (30060749), DRIPc-seq (30060749), RNaseH sensitivity (25851487)	1	23999093, 24896180, 25851487, 26784695, 28977560, 29742442, 30060749, 30108179, 31533039	relaxing DNA supercoils (10347234), transcriptional regulation (23999093, 26784695, 28977560, 31533039), stimulating BLM helicase activity (23261817), modulating the replication process (30060749), preventing transcription-associated genome instability (25851487)
49	Homo sapiens	8940	TOP3B	DNA topoisomerase 3-beta-1	DRIP-qPCR (24507716, 29471495), RNaseH sensitivity (31795919, 29471495, 33378676), immunofluorescence with S9.6 (31795919), dot blot with S9.6 (33378676)	1	24507716, 31795919, 29471495, 33378676	relaxing negative supercoiled DNA to regulate trancription, DNA replication and R-loops (24507716, 31795919, 29471495, 33378676)
50	Homo sapiens	7307	U2AF1	Splicing factor U2AF 35 kDa subunit	HTS (29742442, 30108179), immunofluorescence with S9.6 (28257700, 30054334), RNaseH sensitivity (28257700, 30054334), R-ChIP (29395063)	1	28257700, 29395063, 29742442, 30054334, 30108179	splicing factor (28257700, 30054334), affecting Pol II activity (29395063)
51	Homo sapiens	7486	WRN	Werner syndrome ATP-dependent helicase	HTS (30108179), immunofluorescence with S9.6 (30657978, 29042409), in vitro helicase assay (21561811)	1	29042409, 30108179, 30657978, 21561811	helicase (29042409, 21561811), preventing R-loop-related genome instability (30657978)
52	Homo sapiens	22803	XRN2	5-3 exoribonuclease 2	HTS (29742442, 30108179), immunofluorescence with anti-XRN2 and S9.6 antibodies (27437695), RNaseH sensitivity (27437695), dot blot with S9.6 (27437695), DRIP-qPCR (32645903), DRIP-seq (32747416), pull-down assay (29742442)	1	27437695, 29742442, 30108179, 32645903, 32747416	degrading RNA after R-loop resolution (27437695, 32747416), DSB repair (32645903)
53	Homo sapiens	23567	ZNF346	Zinc finger protein 346	EMSA (10488071, 28208259)	1	10488071, 28208259	binding preferentially to RNA:DNA hybrids (10488071, 28208259)
54	Homo sapiens	27161	AGO2	Protein argonaute;Protein argonaute-2	HTS (30108179), immunofluorescence with S9.6 (25623070), RNaseH sensitivity (25623070)	2	25623070, 30108179	binding to cytosolic RNA:DNA hybrids (25623070)
55	Homo sapiens	60489	APOBEC3G	DNA dC->dU-editing enzyme APOBEC-3G	Southern blot (17314171), RNaseH sensitivity (17314171)	2	17314171	inhibiting the synthesis of HBV DNA-RNA hybrids (17314171)
56	Homo sapiens	79915	ATAD5	ATPase family AAA domain-containing protein 5	immunofluorescence with S9.6 (32542338), GFP-RNaseH1-D210N mutant (32542338)	2	32542338	interacting with RNA helicases to increase their abundance at replication forks to facilitate R-loop resolution (32542338)
57	Homo sapiens	546	ATRX	Transcriptional regulator ATRX	DRIP-qPCR (28487353), RNaseH sensitivity (28487353)	2	28487353	suppressing deleterious DNA secondary structures that form at transcribed telomeric repeats (28487353)
58	Homo sapiens	6311	ATXN2	Ataxin-2	immunofluorescence with S9.6 (27574117), RNaseH sensitivity (27574117)	2	27574117	preventing R-loop formation to safeguard genome stability (27574117)
59	Homo sapiens	6790	AURKA	Aurora kinase A-A	DRIP-qPCR (33768209), RNaseH sensitivity (33768209)	2	33768209	suppressing R-loop formation (33768209)
60	Homo sapiens	6046	BRD2	Bromodomain-containing protein 2	immunofluorescence with S9.6 (31753913), dot blot with S9.6 (31753913), mCherry-RNaseH1 mutant (31753913)	2	31753913	binding and activating TOP1 to restrain R-loops (31753913)
61	Homo sapiens	9184	BUB3	Mitotic checkpoint protein BUB3	HTS (29742442, 30108179), immunofluorescence with S9.6 (25918225), RNaseH sensitivity (25918225)	2	25918225, 29742442, 30108179	regulating RNA splicing and preventing R-loop-mediated DNA damage (25918225)
62	Homo sapiens	83879	CDCA7	Cell division cycle-associated protein 7	immunofluorescence with S9.6 (33082427), RNaseH sensitivity (33082427), DRIP-qPCR (33082427), R-ChIP-qPCR (33082427)	2	33082427	component of chromatin remodeling complex, preventing R-loop formation (33082427)
63	Homo sapiens	1058	CENPA	Histone H3-like centromeric protein A	DRIP-qPCR (33653953), RNaseH sensitivity (33653953), immunofluorescence with S9.6 (33653953)	2	33653953	preventing R-loop formation at centromeres (33653953)
64	Homo sapiens	115004	CGAS	Cyclic GMP-AMP synthase	In vitro assay for cGAS activity (25425575), structure modeling (25425575)	2	25425575	sensing cytosolic RNA:DNA hybrids for activating cellular immune response (25425575)
65	Homo sapiens	10521	DDX17	Probable ATP-dependent RNA helicase DDX17	HTS (29742442, 30108179), immunofluorescence with S9.6 (25623070), RNaseH sensitivity (25623070)	2	25623070, 29742442, 30108179	binding to cytosolic RNA:DNA hybrids (25623070)
66	Homo sapiens	11269	DDX19B	ATP-dependent RNA helicase DDX19B	immunofluorescence with S9.6 (28314779), DRIP-qPCR (28314779), in vitro helicase assay (28314779), RNaseH sensitivity (28314779)	2	28314779	helicase to remove R-loops (28314779)
67	Homo sapiens	9416	DDX23	Probable ATP-dependent RNA helicase DDX23	HTS (29742442, 30108179), immunofluorescence with S9.6 (28076779), RNaseH sensitivity (28076779), DRIP-qPCR (28076779)	2	29742442, 30108179, 28076779	pausing of RNA polymerase II nucleates DDX23 at sites of R-loops for resolution (28076779)
68	Homo sapiens	7919	DDX39B	Spliceosome RNA helicase DDX39B	HTS (29742442, 30108179), immunofluorescence with S9.6 (32439635), RNaseH sensitivity (32439635), DRIP-qPCR (32439635), in vitro helicase assay (32439635), DRIP-seq (32439635)	2	29742442, 30108179, 32439635	helicase to remove R-loops (32439635, 32611612)
69	Homo sapiens	375748	ERCC6L2	DNA excision repair protein ERCC-6-like 2	immunofluorescence with S9.6 (29987015), RNaseH sensitivity (29987015)	2	29987015	participating in RNA polymerase II-mediated transcription via interaction with DNA-PK and resolving R loops (29987015)
70	Homo sapiens	9941	EXOG	Nuclease EXOG, mitochondrial	structure (30949702), in vitro nuclease assay (30949702)	2	30949702	cleaving at RNA-DNA junctions to remove the 5'-end RNA dinucleotide in an RNA/DNA hybrid duplex (30949702)
71	Homo sapiens	84498	FAM120B	Constitutive coactivator of peroxisome proliferator-activated receptor gamma	immunofluorescence with S9.6 (29968717), RNaseH sensitivity (29968717), dot blot with S9.6 (29968717)	2	29968717	binding to Senataxin, an RNA/DNA helicase that resolves R-loops (29968717)
72	Homo sapiens	2332	FMR1	Synaptic functional regulator FMR1	immunofluorescence with S9.6 (32966779), RNaseH sensitivity (32966779)	2	32966779	preventing R-loop formation during replication-transcription conflicts (32966779)
73	Homo sapiens	1647	GADD45A	Growth arrest and DNA damage-inducible protein GADD45 alpha	R-loop footprinting (30617255), DRIP-qPCR (30617255), RNaseH sensitivity (30617255), EMSA (30617255)	2	30617255	binding directly to R-loops and mediating local DNA demethylation by recruiting TET1 (30617255)
74	Homo sapiens	2733	GLE1	Nucleoporin GLE1	immunofluorescence with S9.6 (32755435), RNaseH sensitivity (32755435), mCherry-RNaseH1 (32755435), PLA with anti-GLE1 and S9.6 antibodies (32755435)	2	32755435	impacting subnuclear localization of DDX1 and modulating transcription termination (32755435)
75	Homo sapiens	3070	HELLS	Lymphoid-specific helicase	HTS (30108179), immunofluorescence with S9.6 (33082427), RNaseH sensitivity (33082427)	2	30108179, 33082427	component of chromatin remodeling complex, preventing R-loop formation (33082427)
76	Homo sapiens	54617	INO80	Chromatin-remodeling ATPase INO80	immunofluorescence with S9.6 (32913330), RNaseH sensitivity (32913330), DRIP-qPCR (32913330), colocalization with R-loops (32913330), tethering assay (32913330)	2	32913330	counteracting accumulation of R-loops (32913330)
77	Homo sapiens	4000	LMNA	Prelamin-A/C	co-IP (33661429), RNaseH sensitivity (33661429)	2	33661429	preventing R-loop formation (33661429)
78	Homo sapiens	4144	MAT2A	S-adenosylmethionine synthase isoform type-2	immunofluorescence with S9.6 (33450196), RNaseH sensitivity (33450196), dot blot with S9.6 (33450196)	2	33450196	linked to R-loop regulator PRMT5 (33450196)
79	Homo sapiens	4193	MDM2	E3 ubiquitin-protein ligase Mdm2	GFP-RNaseH1-D210N (30413623), RNaseH sensitivity (30413623)	2	30413623	sustaining DNA replication and preventing R-loop formation (30413623)
80	Homo sapiens	4194	MDM4	Protein Mdm4	dot blot with S9.6 (32427989), RNaseH sensitivity (32427989)	2	32427989	enabling unperturbed DNA replication through the avoidance of R-loops (32427989)
81	Homo sapiens	56339	METTL3	N6-adenosine-methyltransferase catalytic subunit	immunofluorescence with S9.6 (32615088), RNaseH sensitivity (32615088), DRIP-qPCR (32615088), R-ChIP-qPCR (32615088), DRIP-seq (32615088)	2	32615088	preventing m6A-modified RNAs from being degraded or by facilitating RNA hybridization with DNA possibly (32615088)
82	Homo sapiens	79828	METTL8	mRNA N (3)-methylcytidine methyltransferase METTL8	ChIP-qPCR (32199293), dot blot with S9.6 (32199293), RNaseH sensitivity (32199293)	2	32199293	binding to RNA possibly and is responsible for R-loop stability (32199293)
83	Homo sapiens	10725	NFAT5	Nuclear factor of activated T-cells 5	PLA with anti-NFAT5 and S9.6 antibodies (33313823), RNaseH sensitivity (33313823), EMSA (33313823), single-molecule DNA curtain assay (33313823), catalytically-active GFP-RNaseH1 (33313823), immunofluorescence with S9.6 (33313823)	2	33313823	promoting R-loop resolution (33313823)
84	Homo sapiens	54623	PAF1	RNA polymerase II-associated factor 1 homolog	RNaseH sensitivity (29386125), DRIP-qPCR (29386125)	2	29386125	regulating Pol II pause release (29386125)
